,target,weight,source
0,room,4,living
1,watch,4,living
2,older,4,living
3,familiar,4,living
4,enhancing,4,living
5,everywhere,4,living
6,watch,4,room
7,older,4,room
8,familiar,4,room
9,enhancing,4,room
10,everywhere,4,room
11,moving,4,way
12,suit,4,way
13,generations,4,way
14,showcased,4,way
15,watching,4,way
16,moving,4,people
17,way,4,people
18,suit,4,people
19,generations,4,people
20,showcased,4,people
21,watching,4,people
22,google,3,technologies
23,engine,3,technologies
24,google,3,impact
25,engine,3,impact
26,new,3,book
27,one,3,book
28,new,3,search
29,one,3,search
30,room,4,recognised
31,watch,4,recognised
32,older,4,recognised
33,familiar,4,recognised
34,enhancing,4,recognised
35,everywhere,4,recognised
36,room,4,older
37,watch,4,older
38,familiar,4,older
39,enhancing,4,older
40,everywhere,4,older
41,moving,4,generations
42,way,4,generations
43,suit,4,generations
44,showcased,4,generations
45,watching,4,generations
46,moving,4,comfortable
47,way,4,comfortable
48,suit,4,comfortable
49,generations,4,comfortable
50,showcased,4,comfortable
51,watching,4,comfortable
52,room,4,many
53,watch,4,many
54,older,4,many
55,familiar,4,many
56,enhancing,4,many
57,everywhere,4,many
58,room,4,enhancing
59,watch,4,enhancing
60,older,4,enhancing
61,familiar,4,enhancing
62,everywhere,4,enhancing
63,moving,4,watching
64,way,4,watching
65,suit,4,watching
66,generations,4,watching
67,showcased,4,watching
68,moving,4,experience
69,way,4,experience
70,suit,4,experience
71,generations,4,experience
72,showcased,4,experience
73,watching,4,experience
